ticker,company_name,doc_type,period,published_at
PCAR,PACCAR INC,10-K,FY 2023,2024-02-21 00:00:00.000000
PEP,PEPSICO INC,10-K,FY 2023,2024-02-09 00:00:00.000000
PYPL,"PayPal Holdings, Inc.",10-K,FY 2023,2024-02-08 00:00:00.000000
QCOM,QUALCOMM INC/DE,10-K,FY 2024,2024-11-06 00:00:00.000000
REGN,"REGENERON PHARMACEUTICALS, INC.",10-K,FY 2023,2024-02-05 00:00:00.000000
ROP,ROPER TECHNOLOGIES INC,10-K,FY 2023,2024-02-22 00:00:00.000000
ROST,"ROSS STORES, INC.",10-K,FY 2024,2024-04-02 00:00:00.000000
SBUX,STARBUCKS CORP,10-K,FY 2024,2024-11-20 00:00:00.000000
SMCI,"Super Micro Computer, Inc.",10-K,FY 2023,2023-08-28 00:00:00.000000
SNPS,SYNOPSYS INC,10-K,FY 2024,2024-12-19 00:00:00.000000
TEAM,Atlassian Corp,10-K,FY 2024,2024-08-16 00:00:00.000000
TMUS,"T-Mobile US, Inc.",10-K,FY 2023,2024-02-02 00:00:00.000000
TSLA,"Tesla, Inc.",10-K,FY 2023,2024-01-29 00:00:00.000000
TTD,"Trade Desk, Inc.",10-K,FY 2023,2024-02-15 00:00:00.000000
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,10-K,FY 2024,2024-05-22 00:00:00.000000
TXN,TEXAS INSTRUMENTS INC,10-K,FY 2023,2024-02-02 00:00:00.000000
VRSK,"Verisk Analytics, Inc.",10-K,FY 2023,2024-02-21 00:00:00.000000
VRTX,VERTEX PHARMACEUTICALS INC / MA,10-K,FY 2023,2024-02-15 00:00:00.000000
WBD,"Warner Bros. Discovery, Inc.",10-K,FY 2023,2024-02-23 00:00:00.000000
WDAY,"Workday, Inc.",10-K,FY 2024,2024-03-08 00:00:00.000000
XEL,XCEL ENERGY INC,10-K,FY 2023,2024-02-21 00:00:00.000000
ZS,"Zscaler, Inc.",10-K,FY 2024,2024-09-12 00:00:00.000000
